region,published_stop_name,canonical_candidate,stop_id,latitude,longitude,coordinate_status,identity_status,verification_date
Berhampur,BORIGANA,BORIGANA,REG-0120,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,PATHARA,PATHARA,REG-0121,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BAHADURPETTA,BAHADURPETTA,REG-0122,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RAMACHANDRAPUR,RAMACHANDRAPUR,REG-0123,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ARMY AD 1ST GATE,ARMY AD 1ST GATE,REG-0124,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,DEFENCE COLONY,DEFENCE COLONY,REG-0125,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BISWANATHPUR,BISWANATHPUR,REG-0126,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RAKHIYA VIHAR,RAKHIYA VIHAR,REG-0127,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,TARINI PANTHO,TARINI PANTHO,REG-0128,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KADARPALI,KADARPALI,REG-0129,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ARMY AD GATE NO - 2,ARMY AD GATE NO - 2,REG-0130,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,NEW KAMALAPUR,NEW KAMALAPUR,REG-0131,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,OLD KAMALAPUR,OLD KAMALAPUR,REG-0132,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOLABANDHA,GOLABANDHA,REG-0133,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOLABANDHA CHURCH,GOLABANDHA CHURCH,REG-0134,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HATIPADA,HATIPADA,REG-0135,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,DHABALESWAR TEMPLE,DHABALESWAR TEMPLE,REG-0136,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,"POLICE STATION,GOSANINUAGAON","POLICE STATION,GOSANINUAGAON",REG-0137,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RAILWAY STATION P.F-4,RAILWAY STATION P.F-4,REG-0138,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GURUKUL SCHOOL,GURUKUL SCHOOL,REG-0139,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CHANDAN NAGAR,CHANDAN NAGAR,REG-0140,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,LANJIPALI VILLAGE,LANJIPALI VILLAGE,REG-0141,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,LANJIPALI P.S,LANJIPALI P.S,REG-0142,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SUBHASH NAGAR,SUBHASH NAGAR,REG-0143,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ANKULI,ANKULI,REG-0144,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,LAXMINARAYANPUR,LAXMINARAYANPUR,REG-0145,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,JAKARPALLI,JAKARPALLI,REG-0146,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BARAPALLI,BARAPALLI,REG-0147,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SIKULAPALLI,SIKULAPALLI,REG-0148,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,PALASI,PALASI,REG-0149,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GONDALA,GONDALA,REG-0150,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
